,articles,target_summaries,predicted_summaries
12,"मध्यप्रदेश की राजधानी इंदौर में अब महिलाओं को बेहतर सुविधाएं देने के लिए 'पिंक ऑटो' चलाए जाएंगे. खास बात यह है कि इन ऑटो रिक्शा की ड्राइवर भी महिलाएं ही होंगी.
इंदौर में ‘पिंक ऑटो’
चलाने का जिम्मा
सरकारी क्षेत्र की कम्पनी अटल इंदौर सिटी ट्रांसपोर्ट सर्विसेस लिमिटेड (एआईसीटीएसएल) ने उठाया है. कंपनी की एक प्रवक्ता ने बताया, ‘हम चाहते हैं कि
शुरुआती चरण में

महिलाओं के लिए 20 पिंक ऑटो चलाए जाएं. हाल ही में कुछ महिला ड्रायवरों ने हमसे मिल कर इच्छा जतायी है कि वे ये ऑटो रिक्शा चलाना चाहती हैं.’
प्रवक्ता ने कहा, ‘जो महिलाएं पिंक ऑटो चलाकर अपनी आजीविका कमाना चाहती हैं, उन्हें जिला प्रशासन प्रशिक्षण भी दिलवाएगा.’ उन्होंने बताया कि ‘पिंक ऑटो’, टेली रिक्शा की
तर्ज पर चलाए

जाएंगे. महिलाएं महज एक फोन कॉल कर ‘पिंक ऑटो’ बुक कर सकेंगी. इन ऑटो रिक्शा की बुकिंग मोबाइल
एप्लिेकशन

की मदद से भी की जा सकेगी.
इनपुट भाषा",इंदौर: आधी आबादी के लिए 'पिंक ऑटो' चलाएंगी महिलाएं,इंदौर में अब महिलाओं को बेहतर सुविधाएं देने के लिए 'पिंक ऑटो' चलाए जाएंगे.
13,"स्टार बैडमिंटन खिलाड़ी सायना नेहवाल भले ही इस साल मामूली अंतर से दुनिया की नंबर एक खिलाड़ी बनने से चूक गई हों लेकिन इस दिग्गज ने कहा कि वह जिस चीज की हकदार हैं उसे अपनी कड़ी मेहनत से हासिल कर लेंगी और अगले बरस इस अभियान की नयी शुरूआत करेंगी.

इस साल राष्ट्रमंडल खेलों के स्वर्ण पदक सहित पांच खिताब जीतने के बावजूद सायना विश्व रैंकिंग में दूसरे नंबर तक ही पहुंच सकी और बेहद मामूली अंतर से दुनिया की नंबर एक खिलाड़ी बनने से चूक गई. वह चोट के कारण इसी महीने इंडियन ओपन ग्रां प्री में भी नहीं खेली जिससे अहम रैंकिंग अंक हासिल नहीं कर पाई.

सायना ने कहा, ‘जो भी होता है हमेशा अच्छे के लिए होता है. मैं भले ही इंडियन ओपन में नहीं खेलने के कारण जरूरी अंक नहीं जुटा पाई हूं लेकिन जो मेरा है उसे मैं अपनी कड़ी मेहनत से हासिल कर लूंगी. मैं नंबर एक बनने के लिए नयी शुरूआत करूंगी.’
सायना के लिए 2010 काफी सफल रहा और उन्होंने राष्ट्रमंडल खेलों के अलावा इंडियन ओपन ग्रां प्री, सिंगापुर ओपन सुपर सीरीज, इंडोनेशिया ओपन सुपर सीरीज और हांगकांग ओपन सुपर सीरीज का खिताब जीता.

वह हालांकि साल के 50वें हफ्ते की विश्व रैंकिंग में लगभग 2300 अंक से दुनिया की नंबर एक खिलाड़ी बनने से चूक गई.

सायना को हालांकि अब तक दुनिया की नंबर एक खिलाड़ी नहीं बन पाने का मलाल नहीं है. उन्होंने कहा, ‘नंबर एक बनना मानिसक तौर पर संतोषजनक हैं लेकिन अब भी कई बेहतर खिलाड़ी मौजूद हैं इसलिए मुझे नंबर एक नहीं बन पाने का मलाल नहीं है.’
सायना के पास इंडियन ओपन में जीत के साथ दुनिया की नंबर एक खिलाड़ी बनने का मौका था जहां वह शीर्ष वरीय और खिताब की प्रबल दावेदार थी लेकिन टखने की चोट के कारण उन्हें इस प्रतियोगिता से हटना पड़ा.
हैदराबाद ही इस स्टार खिलाड़ी ने कहा, ‘मेरी चोट गंभीर नहीं है. यह मुझे हांगकांग ओपन के फाइनल के दौरान लगी जब मैं जीत से कुछ अंक दूर थी. यह यात्रा के दौरान बढ़ गई और इंडियन ओपन के समय असहनीय हो गई. थोड़ी सूजन है जो कम हो रही है. फिजियो ने मुझे दवाई दी है और आराम का सुझाव दिया है.’ सायना ने साथ ही साफ किया कि वह पांच से नौ जनवरी तक चीनी ताइपे में होने वाले सुपर सीरीज फाइनल में भी हिस्सा नहीं लेंगी.
उन्होंने कहा, ‘मैं सुपर सीरीज फाइनल में नहीं खेलूंगी क्योंकि मैं मलेशिया और कोरिया ओपन के लिए तैयारी कर रही हूं और इन दोनों टूर्नामेंट में शिरकत करूंगी.’ दुनिया की इस दूसरे नंबर की खिलाड़ी ने कहा कि भारत में बैडमिंटन का दायरा बढ़ाने और अधिक खिलाड़ियों को इस खेल से जुड़ने के लिए प्रेरित करने के लिए देश में अधिक से अधिक शीर्ष टूर्नामेंटों का आयोजन जरूरी है.

हैदराबाद ही इस खिलाड़ी ने कहा, ‘भारत में बैडमिंटन का भविष्य उज्जवल है लेकिन अब भी भारत में किसी सुपर सीरीज टूर्नामेंट का आयोजन नहीं होता. हमें भारत में अंतरराष्ट्रीय स्तर के अधिक टूर्नामेंटों की जरूरत है जिससे हमें घरेलू सरजमीं पर ही अधिक मैच खेलने का अनुभव मिल जाएगा.’
सायना ने अपनी सफलता में कोच पुलेला गोपीचंद और अपने परिवार की भूमिका को अहम बताते हुए कहा कि इनके सहयोग के बिना वह यह सफलता हासिल नहीं कर पाती.",जिस चीज की हकदार हूं उसे हासिल कर लूंगी: सायना,दुनिया की नंबर एक बैडमिंटन खिलाड़ी सायना नेहवाल का कहना है कि अगले बरस वह विश्व रैंकिंग में अपनी जगह नहीं बना पाएंगी.
14,"राजस्थान में विधानसभा चुनाव प्रचार के बीच आज छात्र संघ चुनाव हो रहे हैं. हर साल होने वाले ये चुनाव इस बार इसलिए ज़्यादा महत्वपूर्ण हैं क्योंकि तीन महीने बाद राज्य की सत्ता के लिए वोट डाले जाएंगे. कॉलेज और यूनिवर्सिटी के इन चुनावों को प्रदेश की राजनीति का लिटमस टेस्ट भी माना जाता है. खासकर
राजस्थान
यूनिवर्सिटी को इसके सबसे बडे़ प्रतीक के तौर पर देखा जाता है. ऐसे में यहां के नतीजों पर सबकी नज़र रहती है.
हालांकि, राज्य में भारतीय जनता पार्टी की सरकार होने के बावजूद पिछले चार चुनावों में अखिल भारतीय विद्यार्थी परिषद (ABVP) को अध्यक्ष पद पर जीत नहीं मिली है. यानी दिसंबर 2013 में वसुंधरा राजे की सरकार आने के बाद से बीजेपी समर्थित
एबीवीपी
के लिए छात्र संघ चुनाव के नतीजे निराशाजनक रहे हैं. अब जबकि पूरा प्रदेश चुनावी मोड में है, ऐसे में छात्र संघ के नतीजे भी चुनावी भाषण का हिस्सा बनेंगे ये माना जा सकता है.
पिछले चार चुनाव के नतीजे
2014 में
एनएसयूआई
के अनिल चौपड़ा ने जीत दर्ज की थी. उन्होंने एबीवीपी के शंकर गौरा को हराया था. इसके बाद 2015 में भी एनएसयूआई को विजय प्राप्त हुई और सतवीर चौधरी ने राजकुमार बिवाल को हराया. 2016 में निर्दलीय अंकित धायल ने एबीवीपी के अखिलेश पारीक को हराया और 2017 में निर्दलीय पवन यादव ने एबीवीपी के संजय माचेड़ी को हराया.
हालांकि, ये भी तथ्य है कि ये निर्दलीय एबीवीपी से बगावत कर छात्रसंघ चुनाव में उतरे थे और उन्होंने जीत दर्ज की थी.






बगावत से उबरी ABVP
ABVP का दावा है कि पिछले चुनावों में बगावत उनके लिए नुकसानदेह रही है, लेकिन मौजूदा चुनाव में इस समस्या का समाधान कर लिया गया है. ABVP के प्रांतीय संगठन मंत्री अर्जुन तिवाड़ी ने आजतक से बातचीत में कहा कि इस बार उनके संगठन में बगावत नहीं हुई है बल्कि NSUI के छात्रों ने अलग राह चुनी है, जिसका लाभ एबीवीपी को मिलेगा.
अर्जुन तिवाड़ी ने राजस्थान यूनिवर्सिटी के साथ ही आगामी विधानसभा में भी बीजेपी का परचम लहराने का भरोसा जताया. वहीं मारपीट का आरोप लगाने वाले NSUI उम्मीदवार रणबीर सिंघानिया ने भी जीत का दावा किया. बता दें कि वोटिंग सुबह 8 बजे शुरू होकर दोपहर 1 बजे तक चलेगी.
अध्यक्ष पद के लिए ये हैं प्रत्याशी
राजपाल चौधरी - ABVP
रणबीर सिंघानिया - NSUI
विनोद जाखड़ - बागी प्रत्याशी, NSUI
महेश समोता - बागी प्रत्याशी, NSUI
दुष्यंतराज चुंडावत - बागी प्रत्याशी, NSUI
विनोद कुमार कुमावत - निर्दलीय प्रत्याशी","वसुंधरा 'राज' में ABVP को नहीं मिल पाई राजस्थान यूनिवर्सिटी की सत्ता, आज वोटिंग",राजस्थान में छात्र संघ चुनाव के नतीजे अब भी चुनावी भाषण का हिस्सा बन रहे हैं.
15,"बॉस और उसके कर्मचारियों के बीच सोशल मीडिया महत्वपूर्ण कड़ी साबित हो रहा है. यह बात एक रिपोर्ट में सामने आई है. ऐसे कर्मचारियों का प्रतिशत बढ़ रहा है जो करियर में कदम बढ़ाने से पहले इस माध्यम का उपयोग कर रहे हैं.
केली सर्विस की एक रिपोर्ट में यह बात कही गई है कि कर्मचारियों के ऑनलाइल होने तथा ऑनलाइन जॉब बोर्ड के आने के साथ न केवल कंपनियों को सही प्रतिभा तलाशने में मदद मिलती है, बल्कि कर्मचारियों को भी काम करने की जगह के बारे में ज्यादा सूचना प्राप्त करने में सहायता मिलती है.
ऑनलाइन प्रतिभा समुदाय तथा ऑनलाइन रोगजार बोर्ड से कर्मचारियों को बेहतर निर्णय लेने में मदद मिलती है और साथ ही नियोक्ताओं को भी प्रतिभा की पहचान करने में सहायता मिलती है. केली सर्विस इंडिया एंड मलेशिया के प्रबंध निदेशक कमल कारंत ने कहा, 'डिजिटल तथा ऑनलाइन संचार सुविधाओं के आने से काम तथा कार्यस्थल के बारे में बातचीत का दायरा बढ़ा है.
नियोक्ताओं के पास प्रतिभाओं को आकषिर्त करने तथा काम करने के तरजीही गंतव्य के रूप में अपनी कंपनी के बारे में सूचना देने के कई रास्ते हो गये हैं.'",करियर में कदम बढ़ाने के लिये कर्मचारी कर रहे हैं सोशल मीडिया का उपयोग,मलेशिया में ऑनलाइन जॉब बोर्ड के आने से कर्मचारियों की प्रतिभा तलाशने में मदद मिल रही है.
16,"कुछ दिन पहले दूसरे समुदाय की एक लड़की से शादी करने वाले एक युवक को गिरिडीह शहर में बुधवार को अज्ञात बंदूकधारी ने गोली मार दी.
पुलिस ने बताया कि युवक की पहचान रोहित कुमार के तौर पर की गयी है. बंदूकधारियों ने उसे उस समय गोली मार दी जब वह शहर स्थित कालीबाड़ी चौक के निकट अपने घर के बाहर खड़ा था. उन्होंने बताया कि उसे गिरिडीह शहर स्थित नर्सिंग होम ले जाया गया लेकिन उसकी हालत गंभीर थी. उसे धनबाद अस्पताल भेज दिया गया.
पुलिस ने बताया कि रोहित ने कुछ महीना पहले दूसरे समुदाय की एक लड़की के साथ शादी किया था.",गिरिडीह में अज्ञात बंदूकधारी ने युवक को मारी गोली,भारत प्रशासित कश्मीर के गिरिडीह में एक युवक को अज्ञात बंदूकधारियों ने गोली मार दी है.
17,"प्रधानमंत्री मनमोहन सिंह ने प्याज की उंची कीमतों पर चिंता जताते हुए कहा कि इसके दाम को उचित स्तर पर लाने के लिए तत्काल जरूरी कदम उठाए जाएंगे.

प्रधानमंत्री कार्यालय की ओर से उपभोक्ता मामलों तथा कृषि मंत्रालय के सचिवों को भेजे पत्र में मनमोहन ने प्याज की कीमतों में अचानक आए बेहतहाशा उछाल पर चिंता जताई है.

देश के विभिन्न शहरों में प्याज के दाम अचानक कुछ दिन में ही बढ़कर 70 रुपये प्रति किलोग्राम पर पहुंच गए हैं. आपूर्ति में कमी की वजह से संभवत: प्याज के दामांे में तेजी आई है.

एक सूत्र ने कहा कि प्रधानमंत्री चाहते हैं कि प्याज की कीमतों में बेतहाशा तेजी पर अंकुश के लिए सभी जरूरी कदम उठाए जाएं, जिससे इसे उचित स्तर पर लाया जा सके. प्रधानमंत्री चाहते हैं कि ये कदम तेजी से उठाए जाएं और इनकी रोजाना के आधार पर निगरानी की जाए.

वहीं वित्त मंत्री प्रणव मुखर्जी ने कहा कि वह इसकी आपूर्ति में सुधार के लिए संबद्ध मंत्रालयों से बात करेंगे, जिससे उपभोक्ताओं को राहत मिल सके.
वित्त मंत्री ने कहा कि यह काफी दुर्भाग्यपूर्ण है कि प्याज के दाम इतनी उंचाई पर पहुंच गए हैं. अब मंडियों से उपभोक्ताओं तक आपूर्ति में भी कई खामियां हैं. इस अड़चनों को दूर किया जाना जरूरी है. इसके लिए मैं संबद्ध मंत्रालयों से बात करूंगा.
कंपनी मामलों के मंत्री सलमान खुर्शीद ने कहा कि सरकार हर दुकान में कीमतों को नियंत्रित नहीं कर सकती. जब भी कुछ होता है, तो सरकार हर दुकान को सेंसर नहीं कर सकती है.
वाणिज्य एवं उद्योग मंत्री आनंद शर्मा ने कहा था कि प्याज की कीमतों में तेजी जमाखोरी की वजह से आई है. उन्होंने कहा कि जमाखोरी की वजह से प्याज के दाम बढ़े हैं. देश में प्याज का समुचित भंडार है.
अधिकारियों ने कहा कि प्याज की कीमतों में थोड़ी तेजी महाराष्ट्र में फसल बर्बाद होने की वजह से जरूर आई है पर इस वजह से प्याज के दामों में सिर्फ 15 से 20 प्रतिशत की वृद्धि होनी चाहिए.","प्‍याज की कीमतों पर बोलें पीएम, कीमतें घटाने के लिए कदम उठाएंगे",प्रधानमंत्री मनमोहन सिंह ने कहा है कि प्याज की कीमतों में बेतहाशा तेजी पर अंकुश के लिए सभी जरूरी कदम उठाए जाएंगे.
18,"देश के इतिहास में सबसे बड़ा टैक्स सुधार करार दिए जा रहे वस्तु एवं सेवा कर (जीएसटी) काउंसिल की बैठक में शिक्षा, स्वास्थ्य देखभाल को जीएसटी से छूट देने का फैसला किया गया है. श्रीनगर में हुई काउंसिल की बैठक अब संपन्न हो गई है और अब 3 जून को अगली बैठक होगी. इसी दिन सोने पर लगने वाले टैक्स रेट पर निर्णय लिया जाएगा.
बता दें कि जीएसटी काउंसिल की इस बेहद अहम बैठक में 80 से 90 फीसदी वस्तुओं और सेवाओं पर टैक्स के रेट तय कर दिए गए हैं. बैठक के पहले दिन ही काउंसिल ने 1,211 वस्तुओं पर टैक्स रेट तय किए. इस सभी उत्पादों को 5, 12, 18 और 28 प्रतिशत के टैक्स ढांचे में रखा जाएगा.
परिषद में कोयले पर टैक्स को 11.69% से घटाकर 5%, मिठाई पर 5%, बालों के लिए तेल, टूथपेस्ट और साबुन जैसे उत्पादों पर 18% टैक्स निर्धारित किया गया है. वहीं चीनी, चाय, कॉफी और खाने के तेल पर 5% टैक्स लगाने का फैसला किया गया है.
1 जुलाई से होगा लागू

पूरे देश के लिए एक समान टैक्स ढ़ांचे पर जीएसटी काउंसिल फैसला करने जा रही है. इस फैसले के बाद 1 जुलाई से पूरे देश में सेंट्रल एक्साइज और सर्विस टैक्स चुकाने वाले सभी कारोबारियों को इन नई दरों पर जीएसटी का भुगतान करना होगा.
जीएसटी के तहत 350 सीसी इंजिन क्षमता से अधिक की मोटरसाइकिलों, निजी जेट विमानों और महंगी आलीशान नौकाओं की खरीदारी पर 31 प्रतिशत की दर से जीएसटी लगेगा. पान-मसाला गुटखा पर जीएसटी की शीर्ष दर के ऊपर 204 प्रतिशत उपकर लगेगा. जीएसटी व्यवस्था एक जुलाई से लागू होगी.






जीएसटी परिषद की श्रीनगर में हुई दो दिवसीय बैठक में लिये गये निर्णय के मुताबिक सभी कारों, बसों, ट्रकों और मोपेड और मोटरसाइकिलों के साथ-साथ व्यक्तिगत इस्तेमाल के विमान, लक्जरी नौकायानों पर सबसे ऊंची दर 28 प्रतिशत पर जीएसटी लगाया जायेगा.

महंगी बाइक, नौकाओं, निजी जेट पर लगेगा 31 प्रतिशत जीएसटी

इसके अलावा सभी तरह की कारों, एसयूवी और 350 सीसी इंजिन वाली मोटरसाइकिलों पर अतिरिक्त उपकर भी लगाया जायेगा. निजी विमानों, लक्जरी नौकायानों और 350सीसी से अधिक इंजिन क्षमता वाली मोटर साइकिलों पर 28 प्रतिशत के ऊपर तीन प्रतिशत उपकर भी लगाया जायेगा. इस प्रकार इन पर कुल 31 प्रतिशत की दर से जीएसटी लगेगा.
इसी प्रकार चार मीटर से कम लंबी और 1200सीसी के पेट्रोल इंजन वाली कारों पर 28 प्रतिशत के ऊपर एक प्रतिशत उपकर लगेगा. 1500 सीसी से कम क्षमता वाली छोटी डीजल कारों पर जीएसटी की शीर्ष दर के ऊपर तीन प्रतिशत उपकर लगेगा. इसी प्रकार मध्यम आकार की कारों, एसयूवी और लक्जरी कारों पर 28 प्रतिशत की जीएसटी दर के ऊपर 15 प्रतिशत की दर से उपकर लगेगा.
बसों और ऐसे वैन जिनमें 10 से ज्यादा लोग बैठक सकते हैं उनपर भी इसी दर से उपकर लागू होगा. 1500सीसी इंजन क्षमता से अधिक की हाइब्रिड कारों पर भी शीर्ष जीएसटी दर के ऊपर 15 प्रतिशत की दर से उपकर लगाया जायेगा.
पान मसाला गुटखा पर 204% उपकर

पान मसाला गुटखा पर जीएसटी की शीर्ष दर के ऊपर 204 प्रतिशत की दर से उपकर लगेगा. केन्द्र और राज्यों के बीच अहितकर और लक्जरी सामानों पर 28 प्रतिशत की शीर्ष दर के ऊपर उपकर लगाने पर सहमति बनी है. तंबाकू उत्पादों पर 71 से 204 प्रतिशत की दर से उपकर लगाया जायेगा.
इसके अलावा खुश्बूदार जर्दा और फिल्टर खैनी पर 160 प्रतिशत की दर से उपकर लगेगा. फिल्टर और बिना फिल्टर वाली सिगरेट जिसकी लंबाई 65 मिलीमीटर से अधिक नहीं होगी पर पांच प्रतिशत उपकर लगेगा. इसके ऊपर प्रति 1,000 सिगरेट पर 1,591 रुपये भी लिये जायेंगे. बिना फिल्टर वाली 65 मिलीमीटर से अधिक लेकिन 70 मिलीमीटर से कम लंबी सिगरेट पर शीर्ष दर के ऊपर पांच प्रतिशत जमा 2,876 रुपये का उपकर लगाया जायेगा.
इसी प्रकार फिल्टर सिगरेट पर पांच प्रतिशत जमा 2,126 रुपये प्रति एक हजार सिगरेट की दर से उपकर लगेगा. सिगार पर जीएसटी की शीर्ष दर के ऊपर 21 प्रतिशत या प्रति 1,000 सिगार 4,170 रुपये जो भी अधिक होगा की दर से उपकर लगेगा. ब्रांडेड गुटखा पर 72 प्रतिशत उपकर होगा.
पाइप और सिगरेट में भरे जाने वाले तंबाकू मिश्रण पर 290 प्रतिशत की दर से उपकर लगाया जायेगा. इसके अलावा कोयला, लिग्नाइट और पीट उत्पादन पर प्रति टन 400 रुपये का स्वच्छ ऊर्जा उपकर लगाया जायेगा.
सिनेमा पर 28 प्रतिशत टैक्स रेट

अभी तक घोषित जीएसटी के टैक्स रेट के मुताबिक इंटरटेनमेंट पर सबसे ज्यादा टैक्स रेट हैं. सिनेमा पर सर्विस टैक्स के साथ यह 28 प्रतिशत है, जबकि रेस क्लब टैक्स भी इसके समान ही है. एसी रेस्टोरेंट पर 12 प्रतिशत टैक्स, शराब के साथ एसी रेस्टोरेंट पर यह 18 प्रतिशत होगा. फाइनेंशियल सर्विसेस और टेलीकॉम पर इसकी स्टैंडर्ड रेट 18 प्रतिशत होगी. वहीं फाइव स्टार होटलों पर सर्विस टैक्स 28 प्रतिशत है.","श्रीनगर में GST काउंसिल की बैठक खत्म, 3 जून को डिसाइड होगा सोने पर टैक्स रेट",जीएसटी परिषद की बैठक के पहले दिन ही पूरे देश में टैक्स रेट तय कर दिए गए हैं.
19,"एनडीए की महत्वपूर्ण सहयोगी तेलुगु देशम पार्टी (टीडीपी) और बीजेपी के बीच इस समय आंध्र प्रदेश को लेकर टकराहट दिख रही है.  आंध्र की सत्ता में काबिज टीडीपी बीजेपी से वादे पूरे करने को कह रही है, तो बीजेपी की ओर से टीडीपी को अब तक सिर्फ आश्वासन मिले हैं.
हालांकि 1 फरवरी को पेश किए गए आम बजट में आंध्र प्रदेश को स्पेशल स्टेट का दर्जा और पैकेज की घोषणा न होने के बाद से टीडीपी और बीजेपी के बीच मतभेद खुलकर सामने आए हैं.
नायडू ने की थी PM मोदी से मुलाकात
बता दें कि इससे पहले आंध्र प्रदेश से संबंधित अपनी मांगों को लेकर राज्य के मुख्यमंत्री एन. चंद्रबाबू नायडू ने प्रधानमंत्री नरेंद्र मोदी से भी मुलाकात की थी, लेकिन उनकी मांगों पर अभी तक केंद्र ने कोई घोषणा नहीं की है. हालांकि बजट पेश होने के बाद टीडीपी की ओर से दबाव बढ़ने और एनडीए गठबंधन से अलग होने की बात कहने के बाद केंद्र ने टीडीपी को पैकेज की घोषणा जल्द करने के संकेत दिए हैं.
बजट में आंध्र को कुछ न मिलने के बाद मुख्यमंत्री चंद्रबाबू नायडू ने कहा था कि अगर उन्हें (बीजेपी) हमारी जरूरत नहीं, तो हम नमस्ते कह देंगे.
हाल ही में ऐसी खबरें आई थी कि वित्तमंत्री इस संबंध में जल्द ही पैकेज जारी कर सकते हैं, लेकिन गुरुवार को भी
संसद के दोनों सदनों में टीडीपी सांसदों ने जमकर प्रदर्शन
किया. टीडीपी सांसद नारे लगाते हुए सदन के वेल में पहुंचे, तो लोकसभा सचिवालय के कर्मचारियों के दस्तावेज भी छीन लिए. इससे लोकसभा स्पीकर खासे नाराज दिखे.






अगले साल हैं आंध्र में चुनाव, इसलिए आक्रामक है TDP
अगले साल होने वाले लोकसभा और आंध्र प्रदेश विधानसभा के एक साथ होने वाले चुनावों के मद्देनजर लंबे समय से लंबित मांगों को लेकर टीडीपी काफी आक्रामक है.
टीडीपी और बीजेपी के बीच चल रही अदावत के बीच नायडू और मोदी की मीटिंग काफी अहम थी. इस मीटिंग में नायडू ने पीएम को 17 पेज का दस्तावेज सौंपा था. दोनों नेताओं के बीच डेढ़ साल बाद मुलाकात हुई थी.
जानिए क्या है टीडीपी की मांग
- चंद्रबाबू नायडू की मांग है कि केंद्र पोलावरम परियोजना के लिए 58,000 करोड़ रुपये को तत्काल मंजूरी दे।
- उन्होंने मोदी से नए राज्य की राजधानी अमरावती के विकास के लिए केंद्रीय बजट में पर्याप्त राशि सुनिश्चित करने का आग्रह किया।
- वह यह भी चाहते हैं कि मोदी राज्य विधानसभा की सीटें 175 से बढ़ाकर 225 करने के लिए तत्काल कदम उठाएं, जिसकी प्रतिबद्धता पुनर्गठन अधिनियम में की गई है।
- नायडु का कहना है कि राज्य के विभाजन के कारण आंध्र प्रदेश वित्तीय समस्याओं का सामना कर रहा है। उन्होंने कहा कि अधिनियम के तहत की गई प्रतिबद्धताओं को लागू करने में देरी से समस्याएं और बढ़ेंगी।
क्या है आंध्र प्रदेश विधानसभा का समीकरण
साल 2014 में हुए आंध्र प्रदेश विधानसभा चुनावों में बीजेपी और टीडीपी ने शानदार प्रदर्शन किया था. दोनों पार्टियों के गठबंधन को 175 सीटों में 106 सीटें मिलीं. इनमें टीडीपी को 102 और बीजेपी को 4 सीटें मिलीं, जबकि कांग्रेस से अलग होकर चुनाव लड़ने वाली जगन मोहन रेड्डी की वाईएसआर कांग्रेस को 67 सीटें मिलीं.
दूसरी ओर एनडीए सहयोगी टीडीपी के पास के पास 15 सांसद हैं और केंद्र की मोदी सरकार में दो मंत्री भी हैं. इनमें नागरिक उड्डयन मंत्री अशोक गणपति राजू और वाईएस चौधरी शामिल हैं.",जानिए क्या है TDP की मांग और क्यों हो रहा संसद में हंगामा,आंध्र प्रदेश में सत्तारूढ़ राष्ट्रीय जनतांत्रिक गठबंधन (एनडीए) और भारतीय जनता पार्टी (बीजेपी) के बीच टकराहट का दौर जारी है.
20,"नागालैंड बोर्ड ऑफ स्कूल एजुकेशन (NBSE) ने 10वीं और 12वीं बोर्ड का रिजल्ट जारी कर दिया है. रोल नंबर और रजिस्ट्रेशन नंबर के जरिये आप अपना रिजल्ट ऑफिश‍ियल वेबसाइट nbsenagaland.com पर देख सकते हैं. इससे पहले रिजल्ट 3 मई को जारी होने वाले थे.
KVS PGT, TGT, PRT 2017: लिखित परीक्षा के रिजल्‍ट जारी, यहां चेक करें
ऐसे चेक करें ऑनलाइन रिजल्ट
- रिजल्ट चेक करने के लिए छात्र सबसे पहले बोर्ड की वेबसाइट nbsenagaland.com पर लॉगइन करें.
-होम पेज पर रिजल्ट सेक्शन में जाएं

केरल बोर्ड: आज घोषित होगा 10वीं का रिजल्ट, जानिए डिटेल्‍स


-लिंक पर क्लिक करते ही एक नया लिंक खुलेगा, अपना रोल नंबर और डेट ऑफ बर्थ एंटर करें.
-जरूरी जानकारियां भरने के बाद इसे सबमिट करें
-रिजल्ट आपकी स्क्रीन पर होगा
रिजल्ट की एक कॉपी अपने पास सुरक्षित रख लें और उसकी प्रिंट कॉपी भी ले लें.

AP SSC 10वीं बोर्ड: नतीजे घोषित, ऐसे चेक करें रिजल्‍ट...


छात्र इन वेबसाइट्स पर अपना रिजल्ट देख सकते हैं.
- nbsenagaland.com
- exametc.com
- indiaresults.com
- examresults.net

छात्र अपना रिजल्ट बोर्ड ऑफिस के नोटिस बोर्ड पर देख सकते हैं.","Nagaland Board 10वीं, 12वीं का रिजल्ट जारी, यहां देखें",नागालैंड में 10 और 12वीं बोर्ड की परीक्षा के नतीजे जारी हो गए हैं.
21,"पाकिस्तान ने दूसरे और अंतिम क्रिकेट टेस्ट मैच में ऑस्ट्रेलिया की पहली पारी को सस्ते में केवल 88 रन के स्कोर पर समेट देने के बाद पहले दिन का खेल समाप्त होने तक तीन विकेट पर 148 रन बना लिए.

टेस्ट किक्रेट की इतिहास में आस्ट्रेलियाई टीम की यह सबसे न्यूनतम स्कोर है. इससे पूर्व वह 1984 में वेस्ट इंडीज के खिलाफ पर्थ में मात्र 76 रन के स्कोर पर लूढ़क गई थी.

पाकिस्तान की ओर से आमेर और आसीफ ने तीन-तीन विकेट झटके. उमर गुल को दो और अमीन को एक विकट हासिल हुआ.

सुबह ऑस्ट्रेलियाई कप्तान रिकी पोंटिंग ने टॉस जीतकर पहले बल्लेबाजी करने का फैसला किया था. पहले दिन का स्टंप उखड़ने तक उमर अमीन एक और उमर अकमल आठ रन बनाकर क्रीज पर जमे हुए थे.",ऑस्ट्रेलिया के खिलाफ टेस्ट मैच में पाक मजूबत,पाकिस्तान ने ऑस्ट्रेलिया के ख़िलाफ दूसरे और अंतिम टेस्ट मैच के पहले दिन का खेल समाप्त होने तक 148 रन बना लिए हैं.
