,Unnamed: 0,Original_sentence,translated_sentence,predicted_summaries
10,60,"[""आंकड़ें पर बहकना आसान है, खासकर इस आरोप पर कि'7 रु.प्रति यूनिट की दर पर तो यह दुनिया में सबसे महंगी बिजली है. '""]","यह आँकड़ेों के बहकावे में आना आसान है, विशेष रूप से ऐसे आरोपों जैसे “एक इकाई में ७ पर, यह दुनिया का सबसे महँगी बिजली है ”.",दुनिया की सबसे महँगी बिजली कौन बनती है? यह सवाल पूछा जा सकता है.
11,61,"['जहां जूट के बने कपड़ों का उपयोग निर्धन लोग पहनने के लिए करते थे, वहां निर्माण की अन्य वस्तुओं, जैसे बोरी, चटाई, कंबल, कागज आदि की मांग वाणिज़्य और उद्योग तथा व्यक्तिगत उपयोग के लिए भी थी.']","जबकि फूजन कपड़ों के लिए, निर्माण की दूसरी चीज़ें बनाने के लिए इस्तेमाल की जाती थीं, जिन पर बंदूकों का बैग, कोट, कागज, इत्यादि का इस्तेमाल किया जाता था ।",भारत में फूजन कपड़ों के लिए इस्तेमाल किया जाता था और उन्हें निर्माण की दूसरी चीज़ें बनाने की ज़रूरत थी.
12,62,"['सरकार ने इस उमीद में कि सौदे को लेकर बातचीत फिर शुरू होगी, अभी जांच का कार्यक्षेत्र और उसकी अध्यक्षता के लिए किसी न्यायाधीश की नियुइक्त नहीं की है.']",सरकार अब तक संदर्भ की शर्तों को ठीक करने या उस पैनल के सिर पर एक न्यायाधीश नियुक्‍त करने के लिए है जब यह उम्मीद कर रहा है कि सौदा फिर से स्थापित किया जाएगा.,ब्रिटेन के गृह मंत्रालय का कहना है कि वह विवादास्पद क़ानून सौदा को स्थगित करने की कोशिश कर रहा है.
13,63,"['इस प्रकार का सुरक्षित अन्य मंदिर निकट ही में बांदी तंद्रापाडु में प्राप्त है जिसका धड़ निरंधार है और इसकी भुजाओं पर उभरे हुए भद्रा ताकों में गणेश, दुर्गा और कार्तिकेय के उत्कीर्णन हैं.']","इस प्रकार का एक और सुप्रसिद्ध मंदिर है Baund Tairo में पाया जाता है, एक naaa, दुर्गा और कारा पर्सिया के कपड़े के साथ।",दक्षिण अफ़्रीका की राजधानी ढाका में एक मंदिर है जिसमें सुप्रसिद्ध धार्मिक स्थलों के लिए तैयार किया गया है.
14,64,['संविधान सभा में इस प्रावधान के आलोचकों का उत्तर देते समय डा.'],इस इंतज़ाम के आलोचकों का जवाब देते वक्‍त डॉ.,ब्रिटेन में डॉक्टरों के लिए लॉकडाउन के इंतज़ाम को लेकर विरोध प्रदर्शन शुरू हो गए.
15,65,['किसी उपयुक़्त फली का भूसा भी देते रहना चाहिए.'],कुछ उचित पैरी से हे को भी दिया जाना चाहिए.,कुछ लोगों के लिए लंबा वजन दिया जाना चाहिए क्योंकि उन्हें कई चीज़ें मिली हैं.
16,66,"['अगले पांच वर्षों के दौरान एक सामान्य वसूली हुई, लेकिन एक बार फिर यह सभी क्षेत्रों में एक समान नहीं थी.']","अगले पाँच सालों के दौरान एक आम बीमारी हो गयी, लेकिन एक बार फिर यह सभी क्षेत्रों में नहीं बनी ।",भारत में कोरोना वायरस की वजह से मृतकों की संख्या बढ़कर तीन हज़ार हो गई है.
17,67,['पार्टी प्रवक्ता आनंद शर्मा का कहना था कि महाकुंभ विहिप की जागीर नहीं है.'],महामा वीएचपी का एक अधिकारी नहीं हो सकता ।,कोरोना वायरस की महामारी के दौरान कई लोगों की मौत हो गई है और अब उन्हें अस्पताल में भर्ती कराया जा रहा है.
18,68,['राजपाल ने राजनैतिक और प्रशासकीय हस्तक्षेप की आशंका से सरकार से पैसा मांगने की कोशिश नहीं की है.'],राजनीतिक और प्रशासनीय हस्तक्षेप के भय ने राजपाल को पैसों के लिए सरकार के पास आने से रोका है ।,राजस्थान के राजपाल चंद्रशेखर ख़ान ने कहा है कि उनके देश में राजनीतिक और प्रशासनीय हस्तक्षेप तेज़ हो गया है.
19,69,['भू-वराह और गजलक्ष्मी तिरूप्परांकुनरम स्थित गुफा मंदिरों में और भू-वराह सहित त्रिविनाम नमक़्कल स्थित गुफा मंदिर में मिलते हैं.'],Bamaga और Gajakams taka रूप में मिल रहे हैं...... गुफा Pagama के साथ गुफा में और lougagaaaaaaa के साथ.,गुफा के लिए तैयारियां बढ़ती नज़र आ रही हैं. यहां तक कि हम आपको यह जानना चाहेंगे.
20,70,['यह प्रसिद्ध राजधानी कन्नौज के पतन और ध्वंस और राजधानी के बाड़ी नामक स्थान पर स्थानांतरण के बारे में बहुत मूल्यवान जानकारी है.बाड़ी नगर गंगा के पूर्वी किनारे पर स्थित था.'],"यह समय के बीतने के बारे में जानकारी का एक मूल्यवान टुकड़ा है...... और राजधानी की मशहूर राजधानी uujuje के बारे में... / मैं... और राजधानी के हस्तांतरण की एक और जगह, जिसका नाम बारी के पूर्वी पक्ष में है।","दुनिया की सबसे बड़ी राजधानी बारी के हस्तांतरण की तैयारी चल रही है, लेकिन यह समय के बीतने का एक महत्वपूर्ण हिस्सा है."
21,71,['धार्मिक प्रथाओं के तौर तरीकों को तय करने में अंतिम निर्णय हमेशा मुल्लाओं और मौलवियों के हाथों में था.'],"इन सभी धार्मिक अभ्यासों के सही प्रकार का निर्णय करने के लिए, एमिल्व और मावीस हमेशा आखिरी शब्द थे ।",एमिल्व और मावीस हमेशा के लिए आखिरी शब्द थे । लेकिन अब तक उनके बारे में कोई जानकारी नहीं थी.
22,72,['शरीर के विभिन्न भागों में सूजन पैदा हो सकती है.इन सूजे हुए स्थानों में न तो पीड़ा ही होती है और न ही वे गर्म होते हैं.'],"शरीर के अलग - अलग हिस्सों में, जो न तो दर्दनाक हैं और न ही गर्म ।",कोरोना वायरस की वजह से कई लोगों की मौत हो गई है और अब उन्हें इलाज के लिए तैयार किया जा रहा है.
23,73,['इस परिसर में त्रिकूट केंद्र के सांझे मंडप के सामने दो और विमान बाद में जोड़े गए.'],इस जटिल के लिए दो और बाद में तिस्कियाआ के आम आदमी के सामने जोड़ा गया है।,तिस्कियाआ में एक जटिल तैयार किया गया है जिसमें महिलाएं और बच्चे भी शामिल हैं.
24,74,['मिसाल के तौर पर बातचीत की तारीखें.'],"उदाहरण के लिए, भाषण की तारीख ।","भारत में भाषण की तारीख को लेकर कई तरह के तथ्य सामने आए हैं और कुछ ऐसे भी हैं, जिनके बारे में आप जानते हैं।"
25,75,['वे अपने दौरे को अंतरराष्ट्रीय समुदाय और अपने लगों में अपनी वैधता के लिए इस्तेमाल करेंगे.'],वह अपनी सेना को और अपने ही लोगों के बीच स्थापित करने के लिए अपनी यात्रा का उपयोग करेगा ।,ब्रिटेन के राष्ट्रपति जॉर्ज बुश ने अपनी सेना के साथ युद्ध करने का फ़ैसला किया है.
26,76,"['यह सच है कि बसव के बहुत अनुयायी हो गये थे.मगर कई शत्रु भी बन गये थे.उनमें कई प्रभावशाली शैव और वैष्णव, ब्राह्मण और जैन थे तथा कई महत्वपूर्ण अधिकारी भी थे.']","यह सच है कि बासवा, बहुत से अनुयायियों को प्राप्त करते समय, कुछ दुश्‍मन भी कमा लेते थे, और इन में कुछ प्रभावशाली शावीनी और विद्वीव Bibien और जेन और कुछ महत्त्वपूर्ण अधिकारी भी थे ।","दक्षिण अफ़्रीका के सबसे शक्तिशाली शासक बासवा थे, लेकिन उनके बारे में बहुत कम जानकारी है ।"
27,77,['इसे इतनी ताकत और जोर से बजाया जाता है कि ऊंगलियों की रक्षा और आवाज में वांछित असर पैदा करने के लिए ऊंगलियों के पोरों पर गोल पट्टियां बांध ली जाती हैं.'],यह बहुत ही मुश्‍किल और दमदार होता है ।,दक्षिण अफ़्रीका में लॉकडाउन के दौरान कई लोगों की मौत हो गई है ।
28,78,"['हालांकि, वृद्धावस्था से संबंधित अनुसंधानों का उद्देश्य अमरत्व प्राप्त करना नहीं है-कम से कम अभी यह मूल प्रश्न नहीं है.']",लेकिन बुढ़ापे के बारे में खोज करने का लक्ष्य अमर रहना नहीं है ।,कोरोना वायरस की वजह से कई लोगों की मौत हो गई है और लाखों लापता हैं ।
29,79,['यह चुनाव उन्होनें जीतने के उदेश्य से नहीं बल्कि असहमत तत्वों के इस अधिकार की पुष्टि के लिए लड़ा था कि वे संस्था के सबसे बड़े पद के लिए लड़ सकते है.'],"उसने ऐसा नहीं किया, जीत हासिल करने के लिए इतना नहीं, क्योंकि यह दावा करने के लिए कि संगठन के सबसे बड़े पोस्ट में प्रतियोगिताओं का अधिकार है ।",दक्षिण अफ्रीका के जाने-माने क्रिकेट खिलाड़ी माइकल ग्रेनेड ने अपनी नई सालगिरह जीत ली है.
30,80,"['इस लिए ऐसे युवाओं की मदद के लिए बहुत ही कम सेवाएँ जिम्मेदार है, जो घर छोडकर ऐसी समस्याओं कीवजह से भागे है, जो न तो पुलिस न सोश्यल सर्विसिज को उतनी गंभीर लगती है कि वे उन की वजह से उन्हें महत्व दें.']",भागने वाले -LBB- R3-RB से निपटने के लिए एक प्रभावी प्रणाली के प्रति,एक नई तकनीकी प्रणाली -LBB- R3-RB से निपटने के लिए एक प्रभावी प्रणालली बनाई गई है.
31,81,['हावड़ा ब्रिज एक विशाल बिच्छू की तरह रेंग रहा था और हैरिसन सड़क उसके पीछे पीछे घिसट रही थी.'],यह पुल एक विशाल बिच्छू और हैरिसन मार्ग के पीछे चल रहा था ।,ब्रिटेन के दक्षिणी हिस्से में एक पुल तैनात किया गया था जिसमें तीन लोगों की मौत हो गई थी और एक अन्य घायल हुआ है ।
32,82,"['बच्चे अपना नाम लिखने, चित्रांकनों पर चिट लगाने या तस्वीर के साथ जाने वाली कहानी लिख पाने में योग्यता हासिल करना चाहते हैं.']","बच्चों को अपने नाम, चित्र या चित्र के साथ जाने के लिए चित्र लिखने में समर्थ होना पसंद है ।",बच्चों को अपने नाम लिखने के लिए चित्र लिखा जाना पसंद होता है और उन्हें अपना नाम रखना चाहिए ।
33,83,"['भारत में लार्ड कर्जन के प्रशासन के दौरान खन लाइसेंसों, भूमिपट्टों आदि के नियमों में परिवर्तन हो रहे थे.']","भारत में भगवान के प्रशासन के तहत, अनुग्रहित परिवर्तनों के नियमों के संबंध में किया जा रहा था...",भारत में भगवान के प्रशासन के तहत अनुग्रहित परिवर्तनों के नियमों की घोषणा कर दी गई है.
34,84,"['इस उपन्यास में दो प्रतिस्पर्धी बहनों ने, जो अपनी वेशभूषा और तैयारी में समान रूप से आकर्षक हैं, परिस्थिति को और भी जटिल बना देती हैं.']","इस उपन्यास की स्थिति और भी पेचीदा है जब दो बहनें बहनें होती हैं, तो दोनों समान रूप से योग्य हैं, हर एक अपने फैशन में ।",एक उपन्यास के अनुसार दो बहनें समान रूप से योग्य होती हैं और दोनों बहनों को सही तरीके से मदद मिलती है.
35,85,['उस कवि ने कवि की भावना को समझ लिया जबकि धर्मतत्त्वज्ञ आपस में भिड़ जाते हैं.'],कवि ने कवि को समझ लिया जबकि धर्मविज्ञानी बहस करते थे ।,यह वो कवि है जिसने धर्मविज्ञानी को समझ लिया था और उसने अपने बारे में बात की थी ।
36,86,"['परिणामस्वरूप, सन् 1936 में, ऐसोसिएशन ने उत्पादन को कम करने के अपने प्रयत्न छोड़ दिये, और इस कारण काम करने के घंटों में फिर से वृद्धि कर दी गयी.']","सन्‌ 1936 में संस्था ने उत्पादन पर रोक लगाने की अपनी कोशिशें छोड़ दीं, और इस वजह से काम के घंटों फिर से बढ़ गए ।",दुनिया की सबसे बड़ी औद्योगिक संस्थाओं में से एक ब्रिटेन में लॉकडाउन की घोषणा की गई है.
37,87,"[""इसी क्रम में, पारादीप फॉस्फेट्स का हाल ही में निजीकरण होने पर ओड़िया पत्रकारों ने एक'फायदे'में चलने वाली कंपनी की बिक्री से होने वाले कथित घाटे को लेकर रोना-पीटना मचाया.""]","सो, जब पारा सुग्रोसी को हाल ही में प्राथमिक किया गया था, तो ऑरी पत्रकारों ने शोक मनाया कि वे एक अच्छी, लाभदायक कंपनी का नुकसान उठा रहे थे ।",दक्षिण अफ्रीका के पूर्व विदेश मंत्री पारा सुग्रोसी की मौत हो गई है और उन्हें अस्पताल में भर्ती कराया गया है.
38,88,['वे नवीनता को प्रोत्साहित करते हैं और प्रतिस्पर्धापूर्ण दामों को सुनिश्चित करते हैं.'],वे एक - दूसरे से होड़ लगाने का बढ़ावा देते हैं और एक - दूसरे से होड़ लगाने की कोशिश करते हैं ।,दक्षिण अफ़्रीका के रहने वाले तेलुगू शहर के लोगों की तादाद बढ़ती जा रही है ।
39,89,['केवल ग्रेट ब्रिटेन में ही विशेष आवश्यकताओं को ध्यान में रखते हुए 11 विभिन्न प्रकार की नस्लों का विकास किया गया है.'],केवल ग्रेट ब्रिटेन में ही 11 नस्लें हैं जो विशिष्ट माँगों को पूरा करने के लिए विकसित हुई हैं ।,ब्रितानी नस्लें ब्रिटेन में विशेष माँगों को पूरा करने के लिए विकसित हो रही हैं ।
40,90,"['यह समिति सभा पटल पर रख गए सभी पत्रों की जांच करती है और संविधान के जिस उपबंध के अधीन या अधिनियम, नियम या विनियम के अधीन पत्र सभा पटल पर रखे गए हों उनके अनुपालन में यदि कोई त्रुटियां पाई जाएं तो उनके बारे में, या यदि ऐसे पत्र संसद के समक्ष रखने में अनुचित विलंब हुआ हो तो उसके बारे में, सदन को प्रतिवेदन देती है.']","समिति घर की मेज़ पर रखी गई सभी कागजों को विशिष्ट करती है और संविधान के प्रबंधों का पालन करने में किसी भी डिफ़ॉल्ट की रपट करती है, नियम, नियम, या नियम, जिनके अंतर्गत काग़ज़ लगाया गया है या फिर यदि संविधान के सामने ऐसी पत्र रखने में कोई अनुचित देरी हुई है.",संविधान के प्रबंधों का पालन करने वाली समिति घर की मेज़ पर रखी गई सभी काग़ज़ों को विशिष्ट करती है.
41,91,['सिंह ने एस्टर्ड़म में एनएससीएन नेताओं आइज़ाक स्वू और थुइंगालेंग मुइवा को तत्काल संदेश दिया कि मणिपुर में महीने भर से चल रहे हिंसात्मक विरोध के कारण सरकार 14 जून को उसके साथ हे समज्हैते का पालन नहीं कर सकती.'],इसके सहवास के के के. मेरोह और महासचिव इजिप्टर के. सिंह गर्मी इसे Mercutialth Sakau और Baghghgacuuuuka के नेताओं को बताने के लिए करने के लिए यह है कि सरकार जून 14 को युद्ध का सम्मान नहीं कर सकती है के सामने एक महीने के आदेश के खिलाफ सड़क पर किया गया है.,इस्लामिक स्टेट के नेतृत्व वाली लड़ाई के दौरान इजिप्टर और अमरीका के बीच युद्ध की शुरुआत हुई है.
42,92,['वायु में श्वास लेने वाले स्थल प्राणियों में कीट पहले थे.'],इन कीड़ों में सबसे पहले हवा के जानवरों में से थे.,हवा के जानवरों के लिए तैयार की गई कीड़ों की तलाश करने वाले भारतीय अधिकारियों ने कहा है कि उनकी तस्वीर अब तक नहीं हुई है.
43,93,"['इस प्रकार, यदि कुछ जीन प्रभावित होती भी हैं तो कुछ क्षतिग्रस्त अच्छी जीन उसके काम को करने के लिए मौजूद रहती हैं.']","इसलिए, यदि कुछ जीन प्रभावित होते हैं, तो भी कुछ अनपेक्षित जीन नियत कार्य को पूरा करने के लिए उपलब्ध हैं ।",कोरोना वायरस महामारी के दौरान जीन की वजह से कई लोगों की मौत हो गई है.
44,94,['अब सीबीआइ के मामले पर नजर ड़ालें.'],सीबीआई के मामले का नमूना दें.,केंद्रीय जाँच ब्यूरो (सीबीआई) की ओर से जारी मामले का नमूना तैयार कर लिया गया.
45,95,"['कुछ संख़्या में श्रमिकों को छोड़कर जो आधूनिक कारखानों में संलग़्न हो गये, बाकी सब कृषि के क्षेत्र में गये और इस तरह कृषि योग़्य भूमि पर पहले से जो दबाव अधिक था और बढ़ गया.']",इस प्रकार पंथीय देश पर पहले से ज़्यादा भारी दबाव बढ़ रहा था ।,पंथीय देशों में क़रीब तीन हज़ार लोगों की मौत हो गई है और कई अन्य घायल हैं ।
46,96,['उसे मणिपुर में सामान्य स्थिति बहाल जो करनी थी.'],इसे Mancacente में सामान्यता बहाल करना पड़ा था.,कोरोना वायरस से लड़ने वाले लोगों की संख्या बढ़कर तीन हज़ार हो गई है.
47,97,['हमारी भूमिका यह सुनिश्चित करने की है कि हमारी प्राकृतिक विश्व के बारे में उपलब्ध जानकारी उन लोगों को प्राप्त हो सके जिन्हें इसकी आवश्यकता है.'],हमारी भूमिका यह निश्‍चित करने के लिए है कि प्राकृतिक संसार के बारे में हमारा ज्ञान उन लोगों के लिए उपलब्ध है जिन्हें इसकी ज़रूरत है ।,प्राकृतिक संसार के बारे में हम सबसे ज़्यादा जानकारी देते हैं और इसके लिए हमारी भूमिका ज़रूरी है ।
48,98,"['फिर भी, देरी और लागत मूल्य की दृष्टि से अधिक चलने की समस्या के अलावा, ये इकाइयां कोयले की उपलब्धता, यातायात, कच्चे माल, श्रम संकट, दोषपूर्ण उपकरण आदि अनेक समस्याओं से घिरी रही हैं.']","इन दो बड़े - बड़े प्रोजेक्टों में काफी देर तक काम करने के बाद, कोयले, परिवहन, रॉ सामग्री, कठिन सामान, परिश्रम, उपकरण इत्यादि से संबंधित कई समस्याओं का सामना किया गया ।",भारत में रॉकेट के दो बड़े प्रोजेक्टों में काम करने वालों की संख्या लगातार बढ़ती जा रही है ।
49,99,"['अंधेरे से परेशान उत्तर प्रदेश विधानसभा चुनावों के शोरगुल के बीच जिस व्यैक्त की ओर कोई ध्यान नहीं दे रहा है, वे हैं पूर्व मुयमंत्री रामप्रकाश गुप्त.']","Uttatue प्रौय चुनाव के बीच, आदमी को याद करने के लिए परेशान कोई भी नहीं है याद करने के लिए याद करने की कोशिश कर रहा है",याद करने के लिए आदमी को परेशान किया जा रहा है. इसके साथ ही वो अपने बारे में भी सोच रहे हैं.
50,950,['पहले उसने क ओर सैन्य कार्रवाई की.'],पहले क्रूर सैन्य चाल आयी.,भारत में सेना ने तीन हज़ार लोगों को मारने का फ़ैसला किया है. यह पहली बार हुआ.
51,951,"['जब तक हमारी जनता को उसके बुनियादी हक नहीं मिल जाते हैं, तब तक किसी बड़े बदलाव की उम्मीद करना नासमझी होगी.']",जब ये मुख्य अधिकार हमारे लोगों के लिए अस्वीकार किए जाते हैं तो बड़े परिवर्तन के बारे में सोचना थोड़ा अजीब बात है.,ब्रिटेन में नए मुख्य अधिकारों की घोषणा की गई है. यह अधिकार अब तक के सबसे बड़े अधिकार हैं.
52,952,['कर्मा को फर्नीचर घोटाले में आरोपित किया गया है और मंत्रिमंड़ल में अगले फेरबदल में वे खुद को जोगी सरकार से बाहर निकल हा पा सकते हैं.'],नौकरी की जगह पर अब सामान की कमी है और शायद खुद को अगली बार दुबारा फेंक दें ।,लॉकडाउन के दौरान कई लोगों की नौकरी बंद हो गई है और अब उन्हें अपने घर से बाहर निकाल दिया गया है.
53,953,['वे सोलह भिन्न स्थानों पर और चार भिन्न समूहों में आग जलाते हैं.'],वे 16 अलग - अलग जगहों में और चार अलग - अलग समूहों में आग लगा देते हैं ।,आग लगाने के लिए ब्रिटेन के कई लोग तैयार हैं और उन्हें हमेशा ही निशाने पर रखा जाता है ।
54,954,['इसलिए स्वस्थ और व्यापक संस्कृति के विकास में यह आवश्यक है कि शहरी और ग्रामीण जीवन के बीच निकट का संबंध रहे ओर निरंतर वे एक दूसरे के प्रभाव में रहें.'],"इसलिए, एक स्वस्थ और तेज़ संस्कृति के विकास में यह आवश्‍यक है कि शहरी और ग्रामीण जीवन के बीच निकट संपर्क हो और दोनों का हमेशा एक दूसरे द्वारा प्रभावित होता है ।",कोरोना वायरस की वजह से दुनिया के कई हिस्सों में लॉकडाउन की घोषणा की गई है.
