,Original_sentence,translated_sentence,predicted_summaries
10,"['अलग-थलग रहने की नीति को भारत की उस आर्थिक नीति से बढवा मिल, जिससे जन-समुदाय का अपने पड़ेसियों से सदियों पुराना संबंध टूट गया.']",एक किला सरकारी नीति के द्वारा पृथकवाद का पालन किया गया था... / मैं... उस समाज के लिए जो उम्र के साथ समाज टूट चुका है... / मैं,पृथकवाद के बारे में हम आपको जानते हैं. यह जानना चाहेंगे आपके लिए किसी भी तरह का.
11,['अंग्रेजी अखबार पॉयनियर में छपे अपने लेख में गिल ने बताया है कि आतंकवाद के खिलफ हमारी कोशिशें किन वजहों से नाकाम होने को अभिशप्त हैं.'],"जब हम आतंकवाद से लड़ने की पूरी कोशिश करते हैं, तब हम क्या कर सकते हैं?",क्या हम आतंकवाद से लड़ने की कोशिश करते हैं? यह सवाल जवाब देना है.
12,['उस स्वर्गीय आत्मा की स्मृति को मेरा सादर प्रणाम. ”'],उसी के लिये स्वर्ग में मेरा धन्यवाद करो । ”,बीबीसी की विशेष टीम ने एक लड़की की हत्या कर दी है जिसकी तस्वीर सोशल मीडिया पर छपी.
13,"['इस स्कूल की स्मृतियों में दो-एक स्मृतियां ही बच पाई थीं- जिनमें से एक थी, वहां के शिक्षकों में से एक शिक्षक की गंदी जुबान और पाठ आरंभ होने के पूर्व अंग्रेजी में एक अनिवार्य समूहिक गान.']","'इस स्कूल की केवल यादें जो बच गए थे एक शिक्षक की गंदी भाषा थी जो बच्चों को हैरान कर दिया और एक अंग्रेजी गीत गाने के लिए अनिवार्य समुदाय के गायन शुरू हो गया, इससे पहले कि “शायद हर दिन आनंद का एक तत्व प्रस्तुत करने की कोशिश । ”",'मेरे स्कूल की यादें बच गई थीं और उन्हें गाना शुरू कर दिया गया.'
14,"['इसी कृति में प्राचीन ऋषि से संबद्ध एक रचना है, जो अपने शिष्यों को पवित्र मंत्र प्रदान किया करते थे.']",यहाँ एक प्राचीन हिंदू ज्ञान के बारे में बताया गया है जिसने छोटे - छोटे बिराज़ों को पवित्र विज्ञान सिखाया था ।,भारत के दक्षिणी शहर लखनऊ में एक नई यात्रा शुरू हो गई है जिसमें कुछ लोगों को पवित्र विज्ञान सिखाया गया है.
15,"['युद्ध में तलबार, भालों तीर-कमानों का प्रयोग होता था.चंबा, कुल्लू तथा त्रिगर्त के राजाओं के पास निश्चित सेना थी.']","तलवारों, तलवारों, धनुष और तलवारों का इस्तेमाल कर हथियार थे कुएलू के राजा, चाम्बा और मेनिया के नियमित सेनाओं के थे.",कुएलू और मेनिया के बीच युद्ध के दौरान हथियारों का इस्तेमाल किया गया था.
16,['1 ऋशऋ-ऊण्श्छ्ष्-वर की अवधारणा तथा ऋशऋ-ऊण्श्छ्ष्-वर और मनुषऋ-ऊण्श्छ्ष्-य के बीच संबंध की यह देहरी सऋ-ऊण्श्छ्ष्-थिति डा. राधाऋषऋ-ऊण्श्छ्ष्-णन् द्वारा इस प्रकार समझाऋ गयी र्है ” जब मनुषऋ-ऊण्श्छ्ष्-य अपनी सीमित बऋद्धिक क्षमताओं के द्वारा सर्वोचऋ-ऊ'],"परमेश्‍वर और मनुष्य के बीच के संबंध में यह भेद इस तरह स्पष्ट किया गया है: जब मनुष्य अपनी सीमित बौद्धिक क्षमताओं के ज़रिए पूर्ण वास्तविकता को समझने की कोशिश करता है, तो वह एक व्यक्‍तिगत परमेश्‍वर के विचार से परे नहीं हो सकता जिसे वह खुद से अलग होने के बारे में सोचता है ।",परमेश् वर और मनुष्य के बीच भेद का एक नया अध्ययन सामने आया है जिसमें यह कहा जा रहा है कि जब वह अपनी बौद्धिक क्षमताओं के ज़रिए पूर्ण वास्तविकता को समझने की कोशिश करता
17,['चंड़ीगढे में एक लड़ेकी की मां चैनल वी के उन कर्मचारियों के लिए घर में बना केक लती है जो आशा भोसले के हिट गानों को चमकते नयनों वाली उनकी बेटी की आवाज में रिकॉर्ड़ करेंगे.'],एक Caghghght माँ एक घर केक लाता है चैनल वी चालक दल के लिए जो उसे स्टाररी बेटी के अनुवाद रिकॉर्ड करेगा।,दक्षिण अफ़्रीका में रहने वाली एक माँ ने अपने घर केक लाने का फ़ैसला किया है.
18,"['अगले वर्ष, सरकार ने प्रारंभ में स्थापित तेल शोधक संगठन पर सलाह मशविरा लेने के लिए रूसी विशेषज्ञों के एक दल को आमंत्रित किया.']","अगले साल, रूसी विशेषज्ञों की एक टीम को उस संगठन के बारे में सलाह देने के लिए आमंत्रित किया गया जिसे उसने पहले तेल मलने के लिए स्थापित किया था ।",रूस में तेल मलने वाले एक संगठन के बारे में सलाह देने की तैयारी चल रही है और इसके लिए विशेषज्ञों की एक टीम गठित की गई है।
19,['अपने उद्देश्यों का संकेत देने से कहीं ज्यादा सनसनीखेज शेख का यह दावा था कि पर्ल मारे जा चुके हैं.'],उसके अभिप्रायों के संकेत से भी अधिक भयानक था शेरिक का दावा है कि पर्ल मारा गया था।,शेरिक पर्ल की हत्या के बाद उसने अपने पति के ख़िलाफ़ कार्रवाई शुरू कर दी है.
20,['युवा अंग्रेजों को प्रोत्साहित ही नहीं किया जाता बल्कि सिखाया जाता था कि वो देशी लोगों के साथ दबंग और अभद्र तरीके से पेश आयें.'],"युवा अंग्रेजी किसानों को प्रोत्साहित किया गया, वास्तव में निर्देशित किया गया है, कि वे दूसरों के साथ कठोरता से पेश आएँ और पर्दाफ़ाश करें.",ब्रिटेन में किसानों के लिए एक नया कार्यक्रम शुरू किया गया है. यह कार्यक्रम तीन साल पुराना था.
21,"['इस सबको देखते हुए, साम्राज़्यवाद से चिपके रहते हुए आजादी और लोकतंत्र की बातें करना हमें सिर्फ एक दिखावा और मजाक जैसा लगा.']","और उस बड़े संसार में भी, हमें स्वतंत्रता और लोकतंत्र के बारे में बात करने के लिए एक दिखावा लगता था; और फिर भी साम्राज्यवाद पर पकड़.","जब तक हम भारत के बारे में बात करते थे, तब से पहले ही हमें एक नया दिखावा लगता था."
22,"['बाद में टोडरमल ने जो अकबर का वित्त मंत्री था आदेश प्रसारित किया कि पूरे साम्राज़्य में सभी लेखे परशियन में लिखे जांयेगे तथा सभी पत्र व्यवहार उसी भाषा में होगें.इसके परिणास्वरूप राज़्य की सेवाओं में सलंग़्न सभी हिंदुओं जिनकी Zसंख़्या अब बहुत अधिक थी, परशियन सीखी.']","अब तकेवर माल, जो एर्कबार मंत्री था, आदेश दिया कि पूरे साम्राज्य में सभी खातों को फारस और सभी पत्रों को एक ही भाषा में रखा जाए, इस परिणाम के साथ कि राज्य की सेवा में सभी हिंदू लोग, जिनकी संख्या अब बहुत बड़ी थी, फारसी सीखा।",भारत के दक्षिणी राज्य तेलंगाना में अब फारस और पत्रों को एक ही भाषा में पेश किया जाएगा.
23,"['डीज़ल इंजन निश्चित रूप से आधुनिक उद्योग, कृषि तथा परिवहन के लिए वरदान सिद्ध हुआ है.']","मरेल इंजन निश्‍चय ही आधुनिक उद्योग, कृषि और परिवहन के लिए एक उत्कृष्ट आदर्श रहा है ।",भारत में मरेल इंजन की दुनिया में सबसे तेज़ी से बढ़ती रफ़्तार रही है ।
24,['उससे मालूम होता है कि निर्यात आय में वृद्धि आंशिक रूप में सामान में अधिक निर्यात के कारण थी.'],यह दिखाता है कि निर्यात में वृद्धि केवल कुछ ही हद तक तरह के निर्यात के कारण थी ।,भारत के निर्यात में लगातार बढ़ोत्तरी हुई है और अब तक इसकी तादाद लगभग तीन गुना थी ।
25,['वियाग्रा के साथ चढईः पर्वतारोहण करने वालं को सलह है कि साथ में कुछ वियाग्रा रख लें.'],"आप पहाड़ी यात्रा करने की योजना बना रहे हैं, तो यहाँ एक ऊपर है: कुछ दूर से कुछ ले लो.",अगर आप पहाड़ी यात्रा करने के लिए तैयार हैं तो आपको यहाँ जाने की ज़रूरत है.
26,"['ओंगियों में बागवानी के प्रति रुचि जगाने की दृष्टि से उनकी बस्ती के समीप एक नारियल, केले, पपीता तथा कन्द-मूल आदि का फार्म बनाया गया तथा उन्हें फार्म में रोजाना मजदूरी पर काम करने के लिए प्रोत्साहित किया गया तथा एक दुकान भी खोली गई ताकि वे रुपए पैसे का लेन-देन भी समझ सकें.']",नारियल केले केले केक और कैया की फसल बस गाँव के पास ही स्थापित की गयी थीं और मालिसों को रोज़ की मज़दूरी पर काम करने का बढ़ावा दिया गया था और एक दुकान भी उन्हें पैसा कमाने के लिए खोला गया था ताकि वे पैसों की तंगी का इस्तेमाल कर सकें ।,पश्चिम बंगाल की राजधानी लखनऊ के एक बस गाँव में नारियल केले केक और कैया की फसल स्थापित की गई थी.
27,['कंप्यूटर गेम ही जिनका धर्मशास्त्र है और जहां सत्ता की भाषा संस्कृत नहीं बल्कि अंग्रेजी है.'],जहाँ पौराणिक कथाओं का एक कंप्यूटर खेल है और जहाँ शक्‍ति की भाषा नहीं बल्कि अंग्रेज़ी है ।,यह भारत का सबसे बड़ा शहर है और जहाँ पौराणिक कथाओं के बारे में बहुत कुछ है.
28,['25. अन्य परिवर्तनों द्वारा यह बात यकीनी बनाई जा सकती है कि लोकल अथॉरिटीयां -'],दूसरे बदलावों में यह भी शामिल हो सकता है कि स्थानीय योजना अधिकारी:,दक्षिण अफ्रीका में क़रीब तीन करोड़ डॉलर के बदलावों की घोषणा की गई है.
29,['बेकायदा मकान से बाहर निकालना और छल करने के विरुद्ध सुरक्षा'],उत्पीड़न और अवैध उत्पीड़न से सुरक्षा,अवैध उत्पीड़न के मामले में सुरक्षा बलों की तैयारी शुरू हो गई है. यह क़दम उठाने के लिए कई लोगों को ज़िम्मेदार ठहराए गए हैं.
30,['मक़्खियां ( मक्षिकाएं ) भारत में मक़्खियां अतिप्राचीन काल से सुप्रसिद्ध रही'],मधुमक्खी - पालकों को समय - समय पर भारत में जाने - माने मधुमक्खियों के नाम से जाना जाता है ।,भारत में मधुमक्खी के पालकों के बारे में बीबीसी हिंदी ने बात की है । यह जानकारी लीजिए :
31,['सूअर प्राय : बहुत जल्दी भड़क उठने वाले होते हैं.यह आशंका रहती है कि अपरिचित परिस्थितियों में मेल ही न करें.'],कभी - कभी नाव का गुस्सा ठंडा हो जाता है और शायद कभी - कभी घर के आस - पास के माहौल में भी सेवा नहीं करनी पड़े ।,भारत में नाव और पानी की वजह से कई लोगों को परेशान करना पड़ा है ।
32,"['हालांकि, मकान मालिक आपको जबर्दस्ती मकान से बाहर नहीं निकाल सकता है, लेकिन उसके अधिकार के लिए अदालत में आवेदन कर सकता है.']","लेकिन, मालिक आपको अकेला छोड़ने के लिए मजबूर नहीं कर सकता ।",अफ्रीका में लॉकडाउन के दौरान कई लोगों की मौत हो गई है और उन्हें घर छोड़ने के लिए मजबूर कर दिया गया है.
33,"['वैद्यकीय सलाह तो यह है कि यदि पुऋष सप्ताह में 21 मात्रांक से अधिक और स्त्री सप्ताह में 14 मात्रांक से अधिक मद्यसार का नियमित सेवन करते हैं तो इसका स्वास्थ्य पर दुष्प्रभाव हो सकता है, विशेषकर जब मद्यसार का सेवन प्रति दिन किया']","चिकित्सा सलाह यह है कि यदि पुरुषों को हर सप्ताह २१ से अधिक मात्रा में पीना है, और यदि स्त्रियों को हर सप्ताह १४ से अधिक पानी पीना है, तो वे अपने स्वास्थ्य को नुक़सान पहुँचाने के ख़तरे को बढ़ा देते हैं, ख़ासकर यदि वे सामान्य रूप से शराब पीते हैं ।",महिलाओं के लिए शराब पीना स्वास्थ्य के ख़तरे को बढ़ा देता है और इसके कारण उन्हें चिकित्सा सलाह दी जा रही है.
34,['उनका विचार था कि संसद को कोई अधिकार नहीं है कि वह कल्याणकारी राज्य तथा समतावादी समाज के निर्माण के आदेश को रद्द कर दे ( पैरा 682 ).'],उनका मानना था कि संसद के पास कोई अधिकार नहीं था...... एक वुल्फईक राज्य का निर्माण करने के लिए...... और एक प्रवीय समाज - अधिकार - अधिकार 682-RB-RY-RIB-RE का निर्माण करने के लिए.,ब्रिटेन की संसद के सदस्यों के लिए तीन साल पहले वुल्फईक राज्य का निर्माण किया गया था.
35,['जैन गुफा मंदिर में एक अग्रमंडप है जो स्पष्ट रूप से आयताकार है और विशिष्ट मंडप शैली के गुफा मंदिर प्रतिमान के अनुरूप है.'],"जेला गुफा गुफा के सामने एक सामने का हिस्सा है जो अधिक से अधिक वर्गीकृत है, और आमाडा-मेरी गुफा मॉडल के अनुरूप है।",जेला गुफा के सामने एक नई तस्वीर पेश की गई है जिसमें तीन चीज़ें शामिल हैं.
36,"['जब उन को यह लगे कि अब जनता की सुरक्षा करना ज़रूरी है, तो वे अपनी शक्तियों का उपयोग कर सकते हैं जो उन्हें मिली हुई हैं.']",उनके पास ऐसी शक्‍तियाँ भी हैं जिन्हें वे तब इस्तेमाल कर सकते हैं जब वे जनता की रक्षा करने के लिए यह ज़रूरी समझते हैं ।,ब्रिटेन के राष्ट्रपति जॉर्ज डब्ल्यू बुश ने अपने देश की रक्षा करने के लिए कई शक् तियाँ तैयार की हैं ।
37,"['लेकिन कुछ वर्ष पहले जब यूनेस्को के अधिकारियों ने संयोग से बुड़िकोट का, जो मैसूर के 17वीं सदी के सुल्तान हैदर अली का जन्मस्थान है, दौरा किया तो गौरी ने महसूस किया कि यह भत गर्व वाल काम है.']","Hibacutiter Aliy के जन्म की एक संभावना, Miciteryyyyyyyyy, के 17वीं सदी में कुछ साल पहले, उसे पता चला कि यह बड़ा सौदा है।",दक्षिण अफ़्रीका के एक युवक ने एक बड़ा सौदा करने का फ़ैसला किया है जिसमें उसे क़रीब तीन करोड़ डॉलर की मदद मिली है.
38,['यह और इसके साथ समान दूरी पर अंतस्तभ निर्माण आंरभिक बौद्ध उदाहरणों की अधिक चौड़ी नाभि और अपेक्षाकृत संकीर्ण पार्श्व वीथियों की उस व्यवस्था के विपरीत है जिसका अनुसरण चालुक़्य राष्ट्रकुट श्रृंखला के समकालीन और बाद के उदाहरणों में किया'],"इस के साथ बराबर, मध्य केंद्रीय Nev और पुराने बौद्ध उदाहरणों के प्रबंध से विपरीत होगा पूर्व बौद्ध उदाहरणों के बाद बाद और बाद में Hakaka-Raka- Rakaka- Rakaaaaaaa की श्रृंखला के उदाहरण.",बौद्ध उदाहरणों की श्रृंखला के प्रबंध के बारे में बीबीसी ने जानकारी दी है. इसके साथ ही यह भी कहा जा सकता है कि पुराने और बाद में नए बौतिक उद उदार्थों का संबंध क्या होगा.
39,['2 हम ने दो खण्डों मे रिपोर्ट तैयार की'],2 हमने इस रिपोर्ट को दो खंडों में प्रकाशित किया ।,बीबीसी की रिपोर्ट के मुताबिक़ हम भारत के जाने-माने लोगों की ज़िंदगी पर नज़र रखते हैं.
40,"['इसलिए इस पर कोई आश्चर्य नहीं होना चाहिए कि हमारे शरीरा में एक लाख विभिन्न किस्मों के प्रोटीन उपस्थित हैं तथा जो बाल, नाखून, त्वचा, हड्डियों, उपास्थियों, मांसपेशियों, संयोजी ऊतकों, तंत्रिकाओं, तंतुओं, हीमोग़्लाबिन, हार्मोन, अंडों के एल्बूमीन आदि पर तथा कीटाणुओं के ऊपरी कवच अथवा कठोर बाह्य आवरण में नानाविध रूपों में पाये जाते हैं.']","इसमें कोई आश्‍चर्य नहीं कि मानव शरीर में १,००,००० प्रोटीन जातियाँ हैं और प्रोटीन परिवार के विविध पदार्थ बालों, नाखूनों, हड्डियों, माँस, पेशियों, माँस - पेशियों के रूप में भिन्न हैं",मानव शरीर में प्रोटीन परिवार के विविध पदार्थों के रूप में भिन्नता है और इसमें कोई आश्चर्य नहीं है.
41,"['बहुत से वृध्द लोग केयरर्ज ( देखभाल करने वाले ) हैं, अपने सहवासी या अन्य सम्बन्धी की देखभाल, या विकलांग की देखभाल करते है या बीमार लड़के या लड़की की देखभाल करते हैं.']","अनेक वृद्ध लोग परवाह करनेवाले हैं, वे अपने साथी, अपने रिश्‍तेदारों, अपंग व्यक्‍तियों या किसी अन्य व्यक्‍ति की देखभाल करते हैं जो बीमार पड़ गए हैं ।",दक्षिण अफ्रीका में बीमार लोगों की संख्या बढ़ती जा रही है और उनके परवाह करने के लिए कई तरह के उपाय किए जा रहे हैं ।
42,"['काफी देर तक चश्मे के पीछे से झांकती आंखों को फोड़ने के बाद, आखिरकार, घनी झाड़ियों में उसके पांवों के निशान की झलक मिली.उसने गोली चला दी.']","जब उसे पता चला कि उसकी आँखों पर क्या बीत रही है, तो उसे एक झलक मिली कि झाड़ी में उसकी छाप कैसी है ।",लंदन की एक झाड़ी में तीन साल की लड़की की मौत हो गई है और उसकी आँखों पर क्या बीत रहा है?
43,['शिकदार पूर्णतया लौकिक दांडिक मामलों का विचारण करता था.'],शिखार ने केवल सांसारिक अपराधी मामलों की कोशिश की ।,पाकिस्तान के पूर्व विदेश मंत्री शिखार शिख़र ने एक बार फिर अपने पद से हटा दिया है.
44,['लेकिन Zफिर भी अल्लाह ने मुझे जो कुछ दिया है उसके लिए उसका शुक्र अदा करता हूं और उसने जो कुछ भी दिया है उसे अपने लिए काफी मानता हूं.'],और जो कुछ ख़ुदा ने मुझे दिया है उसके लिए मैं उसका शुक्रिया अदा करता हूँ और इसलिए कि ख़ुदा ने मुझे याद किया कि उन लोगों के लिए (ख़ुदा की तरफ से) जो आख़ेरत में काफी है,मुझे ख़ुदा के बारे में बहुत कुछ याद है और इसके लिए मैं उसका शुक्रिया अदा करता हूँ.
45,"['कालांतर में उड़ीसा की राजधानी बननेवाला कटक उन दिनों बंगाल प्रेजीडेंसी के दूरस्थ अंचल का एक छोटा-सा कसबा था, जिसका कलकत्ता से रेल-संबंध तक नहीं था.']",उस वक्‍त ओरा नाम के एक छोटे - से कसबे में एक छोटा - सा शहर था ।,दक्षिण अफ़्रीका की राजधानी ढाका में जब तक एक शहर नया नहीं था - उस वक् त यहां एक छोटा और भयानक हादसा हुआ था।
46,['लेकिन इससे भी बालक को किसी तरह की खुशी नहीं मिली.'],लेकिन बच्चा निराश हो गया ।,एक बच्चे की तस्वीर वायरल हो गई थी और उसके बाद उसकी मौत हुई.
47,['यह उनसे आशा भी की जा सकती है क़्योंकि वे ही इस अत्यधिक प्रतिस्पर्धात्मक निर्यात बाज़ार में अच्छी गुणवत्ता का कपड़ा देने में समर्थ हैं.'],यह केवल अपेक्षा की जाती है कि केवल वे ही एक ऐसी होड़ वाली बाजार में गुणवत्ता के कपड़ों को प्रदान करने की क्षमता रख सकते हैं ।,कपड़ों की गुणवत्ता को लेकर ब्रिटेन में कई लोगों का ध्यान केंद्रित किया जा रहा है.
48,['जानवर के उत्तेजित होने पर अथवा काम कर रहे होने पर तापमान बढ़ जाता है.'],यह तापमान तब बढ़ता है जब जानवर उत्तेजित हो जाता है या काम में लग जाता है ।,दक्षिण अफ्रीका में तापमान लगातार बढ़ता जा रहा है और इसका असर जलवायु परिवर्तन पर है.
49,['इसलिए यदि भोजन की क्रिया समाप्त हो चुकी हो तो उस स्थान को धोकर और लीप कर फिर पवित्र Zकर दिया जाता है.'],"यदि भोजन समाप्त हो जाता है, तो वह स्थान धोया जाता है और उसे फिर से साफ़ किया जाता है ।",दक्षिण अफ़्रीका में कई लोगों के भोजन की तैयारी की जा रही है और उन्हें खाने के लिए कुछ स्थान धोया जाता है.
50,['इंगलैंड का स्वास्थ्य वर्तमान स्थिति'],आज इंग्लैंड का स्वास्थ्य,आज इंग्लैंड में स्वास्थ्य की स्थिति काफी तेज़ी से बढ़ रहा है और इससे निपटने की कोशिशें जारी हैं.
51,"['आपने अक़्सर ब्रिटिश साम्राज़्यवाद को बुरा-भला कहा है क़्योंकि आप उसके नीचे मुसीबतें उठा रहे हैं, लेकिन क़्या आपने इस बात पर गौर किया है कि यह तो सारी दुनिया में हो रहा है और इसमें आपकी आवाज पर बेशक सबसे ज़्यादा एतराज है और आपकी आवाज सबसे ज़्यादा चोट करने वाली है.']","लेकिन क्या आपने सोचा है कि यह केवल एक प्रकटन है, निश्‍चय ही एक विश्‍व घटना की सबसे अनुचित और हिंसक प्रदर्शन है?",पाकिस्तान में रविवार को तीन लोगों की मौत हो गई और कई अन्य घायल हुए.
52,['उनके दर्प की यह स्थिति है कि यदि आप उनके सामने किसी और विज्ञान या खुरासान और ईरान में किसी विज्ञान का नाम लें तो वे आपको न केवल अज्ञानी बल्कि झूठा भी समझेंगे.'],"उनका घमंड ऐसा है कि, यदि आप उन्हें Kuyasson और Playsyson में किसी भी विज्ञान या विद्वान के बारे में बताते हैं, तो वे आपको लगता है कि आप एक पागल दूत और एक झूठा होने के लिए तैयार हैं।",ब्रिटेन के वैज्ञानिक जॉर्ज बुश और उनके सहयोगियों के बारे में बहुत कुछ बताते हैं.
53,['भारतीय सिविल सर्विस के सदसऋ-ऊण्श्छ्ष्-य के रूप में वह भारतीयों से इतना अभिनऋ-ऊण्श्छ्ष्-न बने और हर तरह से उनकी हालत सुधारने को इतना उतऋ-ऊण्श्छ्ष्-सुक रहे कि वह ब्रिटिश सरकार के समऋ-ऊण्श्छ्ष्-मुख बदनाम हो गये और आखिकार उनऋ-ऊण्श्छ्ष्-होंने सेवा से तऋ-ऊण्श्छ्ष्-यागपत्र दे दिया.'],"भारतीय नागरिक सेवा के एक सदस्य के रूप में, उसने अपनी पहचान आदिवासियों के साथ की, और अपनी सारी संपत्ति को सुधारने के लिए इतना उत्सुक था कि वह ब्रिटिश सरकार, के साथ घृणाजनक बन गया और आख़िरकार सेवा से इनकार कर दिया ।",ब्रितानी नागरिक सेवा के एक सदस्य ने अपनी पहचान बदलने के लिए ब्रिटिश सरकार से इनकार कर दिया है.
54,"['इस प्रकार, व्यवहार में भारत में, जैसे कि ग्रैनविल्ल आस्टिन द्वारा कहा गया है,? एक सहकारी संघ विद्यमान है जिसमें संसद का प्रभुत्व तो है परंतु इस कारण राज़्य कमजोर नहीं हैं?.']","इस प्रकार, अभ्यास में मौजूद है, जैसे ग्रेविल ऑस्टिन कॉल करना पसंद करता है, भारत में एक सहयोगदाता 'जो कमजोर राज्य में आवश्यकता के बिना नियमों की एक पूर्वनिर्धारितता उत्पन्‍न करता है.",ग्रेविल ऑस्टिन का अभ्यास भारत के विभिन्न राज्यों में नियमों के बिना किया जाता है.
55,"['कुछ सीरियलं ( लिट्ल मिर्ची थोड़ पीपर, सुकन्या ) में काम करने वाली तथा एक बार मिस इंड़िया स्पर्धा में भाग ले चुकी इस बाल की किस्मत खुल गई है.']","अपने -LBBB-LBBB के पीछे श्रृंखला की एक स्ट्रिंग है, सुसान पेथर, सुक्या - RRBER - एक बार, एक बार चूक इंडिया प्रतियोगिता-द-एली के पास हाल ही में भाग्य की एक जगह थी.",एक बार चूक इंडिया प्रतियोगिता-द-एली की श्रृंखला अब तक की सबसे बड़ी स्ट्रिंग है.
56,"['उदाहरण के लिए तीन प्रकार की घरेलू मक़्खी के नाम इस प्रकार हैं-मास्का डोमेZस्टिका जो सामान्यतया हमारे घरों में पाई जाने वाली मक़्खी है, भारतीय घरों में मिलने वाली दूसरी जाति है मस्का नेबलो और तीसरी मस्का विसिना']","उदाहरण के लिए, यहाँ परोका घरेलू पक्षी हैं जो हमारे घरों में आम हैं ।",दक्षिण अफ़्रीका में क़रीब तीन लाख लोगों की मौत हो गई है और कई अन्य मृत्यु हुई हैं.
